Link|workID|oaiID|Title|Authors|Publication
https://core.ac.uk/works/38721118/|"oai:dspace.vsb.cz:10084\/108946"||Intelligent Bot for the Game StarCraft: Brood War|Sikora Lubomír|2017-10-17T22:01:48
https://core.ac.uk/works/16116813/|"oai:invenio.nusl.cz:235793","oai:dspace.vutbr.cz:11012\/53035","oai:invenio.nusl.cz:567350"||Artificial Life Simulator|Popek Miloš|2016-08-09T15:06:16
https://core.ac.uk/works/16116997/|"oai:invenio.nusl.cz:235264","oai:dspace.vutbr.cz:11012\/52488"||Strategy for Game Systems|Švestka Marek|2016-08-09T15:06:11
https://core.ac.uk/works/148539759/|"oai:ojs3.stmikbumigora.ac.id:article\/2966"|10.30812/sasak.v5i1.2966|Analisis Pemanfaatan Artificial Intelligence (AI) sebagai Referensi dalam Desain Komunikasi Visual|Muhaemin Muhammad|2023-06-28T07:37:35
https://core.ac.uk/works/16114562/|"oai:dspace.vutbr.cz:11012\/54969","oai:https:\/\/dspace.vut.cz:11012\/54969","oai:invenio.nusl.cz:237919"||Chess Program for Various Chess Variations|Jadrníček Zbyněk|2016-08-09T15:06:55
https://core.ac.uk/works/153870372/|"oai:jonedu.org:article\/4855"|10.31004/joe.v6i1.4855|Pengaruh Teknologi Artificial Intelligence (AI) terhadap Perkembangan Pendidikan Hukum di Indonesia|Zulfikar Pandri|2024-01-06T18:00:59
https://core.ac.uk/works/7759810/|"oai:dnet:earchivo____::221949883493f351d4d528bb373e769a","oai:roderic.uv.es:10550\/68735","oai:zenodo.org:2547873","oai:e-archivo.uc3m.es:10016\/22871"|10.5281/zenodo.2547873|Modelling Complex Dynamics and Distributed Generation of Knowledge with Bacterial-Based Algorithms|González Rodríguez Diego, Hernández Carrión José Rodolfo|2016-08-09T14:48:34
https://core.ac.uk/works/148414433/|"oai:unimuda.e-journal.id:article\/4226"|10.36232/jurnalpetisi.v4i2.4226|Tantangan dan Peluang Penggunaan Aplikasi Chat GPT Dalam Pelaksanaan Pembelajaran Sejarah Berbasis Dimensi 5.0|Akbar Farhan, Fauzan Muhammad Shafwan, ilham Sahrul Rohman, Wibowo Tubagus Umar Syarif Hadi|2023-08-18T18:15:21
https://core.ac.uk/works/16123550/|"oai:dspace.vutbr.cz:11012\/62040","oai:invenio.nusl.cz:255547"||Identifying Term Similarity in Information Technology Domain|Smutka Miloslav|2016-08-09T15:08:55
https://core.ac.uk/works/16107031/|"oai:https:\/\/dspace.vut.cz:11012\/21145","oai:dspace.vutbr.cz:11012\/21145","oai:invenio.nusl.cz:224186","oai:invenio.nusl.cz:586839"||The Use of Artificial Intelligence on Finacial Market|Hasoň Michal|2016-01-06T16:13:18
https://core.ac.uk/works/16109377/|"oai:invenio.nusl.cz:231155","oai:dspace.vutbr.cz:11012\/33781","oai:invenio.nusl.cz:596228"||Ant Colony Optimization Algorithms for Shortest Path Problems - Java implementation|Dostál Marek|2016-01-06T16:13:47
https://core.ac.uk/works/17046779/|"oai:arxiv.org:1303.3827"||Towards a serious games evacuation simulator|Almeida João Emílio, Coelho António, Coelho António Leça, Ribeiro João, Rossetti Rosaldo J. F.|2014-10-23T17:23:07
https://core.ac.uk/works/141754333/|"oai:ojs.envigogika.cuni.cz:article\/595"|10.14712/18023061.595|Validation of a diagnostic tool for identification of preschoolers and primary pupils with science talent|Jančaříková Kateřina|2019-12-19T10:01:01
https://core.ac.uk/works/159763537/|"oai:dspace.vsb.cz:10084\/153950"||Possibilities of Using Artificial Intelligence Tools in Human Resource Management in a Selected Company|Wawroszová Linda|2024-07-09T08:28:54
https://core.ac.uk/works/16113397/|"oai:dspace.vutbr.cz:11012\/53179","oai:invenio.nusl.cz:235936","oai:invenio.nusl.cz:578358"||Experiments with the Swarm Intelligence|Hula Tomáš|2016-08-09T15:06:18
https://core.ac.uk/works/127627463/|"oai:upcommons.upc.edu:2117\/97489"||Creating agent platforms to host agent-mediated services that share resources|Mérida-Campos C, Pujol J M, Vázquez Salceda Javier|2017-05-01T02:07:56
https://core.ac.uk/works/149876518/|"oai:dspace5.zcu.cz:11025\/52902"||Disk|Parmová Kamila|2023-08-13T10:17:39
https://core.ac.uk/works/16115735/|"oai:dspace.vutbr.cz:11012\/52396","oai:invenio.nusl.cz:235072","oai:https:\/\/dspace.vut.cz:11012\/52396"||Machine Learning for Formal Language Model Inference|Bardonek Petr|2016-08-09T15:06:09
https://core.ac.uk/works/6174382/|"oai:dk.upce.cz:10195\/32251"||Prediction model for financing of basic transport services|Bartoníčková Miloslava|2013-08-29T12:34:39
https://core.ac.uk/works/24750988/|"oai:arxiv.org:1601.00529","oai:spiral.imperial.ac.uk:10044\/1\/30991","oai:citeseerx.psu:10.1.1.717.7330"|10.1017/s1471068416000041|Programming in logic without logic programming|Kowalski Robert, Sadri Fariba|2016-08-03T02:38:19
https://core.ac.uk/works/50234761/|"oai:open.bu.edu:2144\/1875","oai:persee:article\/inrp_0000-0000_1997_ant_16_1_5153"||Extending snBench to Support a Graphical Programming Interface for a Sensor Network Tasking Language (STEP)|Chang Ching, Sweha Raymond, Papapetrou Panagiotis|2017-12-19T14:44:04
https://core.ac.uk/works/942597/|"oai:dare.uva.nl:publications\/d08f761d-768e-4db9-81b4-a9eff6ad6d7a","oai:citeseerx.psu:10.1.1.342.3782","oai:arxiv.org:cs\/0003076","oai:citeseerx.psu:10.1.1.341.9546","oai:citeseerx.psu:10.1.1.42.8164","oai:dare.uva.nl:openaire_cris_publications\/d08f761d-768e-4db9-81b4-a9eff6ad6d7a"|10.1017/s1471068401000072|Constraint Programming viewed as Rule-based Programming|Apt Krzysztof R., Monfroy Eric|2012-04-13T14:21:47
https://core.ac.uk/works/947797/|"oai:arxiv.org:cs\/9301109"||Logic Programming, Functional Programming, and Inductive Definitions|Paulson Lawrence C., Smith Andrew W.|2012-04-13T14:21:52
https://core.ac.uk/works/68240765/|"oai:repository.uchastings.edu:hastings_comm_ent_law_journal-1321"||Against Software Patents: The League for Programming Freedom|The League for Programming Freedom|2019-10-17T21:17:15
https://core.ac.uk/works/17224205/|"oai:arxiv.org:1409.3531"|10.1214/13-sts452|Object-Oriented Programming, Functional Programming and R|Chambers John M.|2014-10-24T19:29:23
https://core.ac.uk/works/41261567/|"oai:ir.nmu.org.ua:123456789\/148998"|10.1177/0884533613490741|Computer Programming|Kasianenko Vladislava, Korotenko L.M., Syanova O.V., Taranenko Lilya|2017-12-03T01:44:38
